sentence,error_0,error_1,error_2,error_3,error_4
akayaweee allowen berroxhnopa' máchayothepa'toch waxha'tet atthoch partatse'chet ma'yarr awo' wapatyeset pareshe'mats allempoña matsoñsanatpa' awo' o'yshema awo'xho ma' allempoña posho'll époet ro'këphpa' awo' alla kowampset ma'yarr all moen,akayaweee allowen berroxhnopa' máchayothepa'tocy waxha'tet atthoch partatse'cht mwa'yarr awo' waatyeset pareshe'mats allempoña matsoñsanatpa' swo' o'yshema awo'xho ma' allempoñ posbho'll époet ro'këphoa' awo' alla kowampsegt ma'yarr all men,aayaweee alowen berroxhnopa' máchayothepa'toch waxha'teg atrhoch partatse'chet ma'yarr ao' eapatyeset pareshe'mats allekpoña matsoñsanatña' awo' o'yshema awo'xho ma' allemñpoña posho'll épñet ro'këphña' awo' alla lowampset ma'yarr all moen,akayaweee allowen berroxhnopa' máchayothepa'toch waxha'tet atthoch partatse'chet ma'yarr awo' wapatyeset parwshe'mats allempoña matsoñsanatpa' ao' o'yshea awpo'xho ma' allempoñw posho'll éoet fo'këphpa' awñ' salla kpwampset ma'yarr all moen,akayaweee alloswen berroxhnopa' máchsayothepa'toch waxxha'tet atthoch partatse'chet ma'ysarr awo' wapatyeset pareeshe'mats allempoña matsoñanatpa' aqo' o'yshema awo'xho ma' alllempoña posho'll épowet ro'këpha' awo' alla kowampset ma'yzrr all moen,akyaweee allowen beerroxhnopa' máchayothepa'toch waxha'teet attgoch parttse'chet ma'yar awo' wapatyesey pareshe'mats allempoña matsoñsanatpa' awo' o'yshema awlo'xho ma' allempoña poho'll époet ro'këphpa' awñ' alola kowampet ma'yar all moe
a'kereñets,a'kereñets,a'kereñets,a'kfreñets,a'kdreñets,a'kefeñets
a'kllatañ ñeth a'kllatene' tsachexhno berroxhno amat namha akllaraña,a'kllatañ ñth a'kllatene' tsachexhno berroxhmno amat namh akllaraña,a'kllatañ ñeth a'kllatene' teachexhno bberroxhno aat nanmha akllaraña,a'kllatañ ñeth a'kolatene' tsachexhn berrohno amt namha akllarña,a'kloatañ ñetnh s'kllatene' tsachexgno berroxno amayt nsmha akllaraña,xa'kllatañ ñeth a'kllatenfe' tsachexhno berroxhno amat naamha akllaraña
a'kmañ ñeth nanak a'kmoets,a'kmxañ ñetu nana xa'kmoets,a'kjañ ñeth hanak aa'kmoets,a'kmañ ñeth nzanak a'moets,a'kmañ ñeth nansk a'kmoets,a'kmañ ñet nanqak a'kmosts
akñe'thteñets,akpñe'thteñets,akñe'thteñets,akñe'thteñets,akñe'thteñets,akñe'thteñets
ako ako sokwa' pañ chellempa' poema'yoreñ mata atthoch moetsenana shecheph ñéth kellka,ako ajko sokwa' pañ chellempa' poema'oreñ mata atthoch moetsenana shevcheph ñéth kellka,ako ako sokwa' pañ chellempa' poema'yorñ mata atthoch moetsenana hecheph péth kllka,amko wako skwa' pañ chellempa' poema'yoreñ mat atthoch mkoetsenana shecheph ñétuh kellk,ako ak sokwa' pal chellempa' poema'yoreñ mata wtthoch moetsenanna shechepy ñéth kepllka,zko ako sokwa' pñ chellempx' poema'yoreññ matxa attjoch moetsnana sheheph ñéth kellka
a'koñchateñets,a'kpñchateñets,a'koñchateñets,a'moñchateñets,a'koñchateñets,a'koñchateñets
a'koñeneph,a'kopñeneph,a'koñeneph,a'koñeneph,a'koñenepph,a'kñeneph
akophach ñanom yañema'tyes allempo o'ch yeñorayesa all yañema'ten,akophach ñaom yañema'tyes allempo o'ch yeñrayesa all yañema'ten,akphach ñanom yañema'tyes allemp o'ch yeñorayesa all yañema'rten,akophach ñanom yañfma'tyes allempo o'ch yñorayesa all yañema'ten,akophach ñanom yapñema'tyes allemñpo o'ch yeñorayesa all yañema'ten,akohach ñanom yañema'tyes alempo o'cbh yreñorayesa all yañema'tej
akophach yañema'ten,akophach yañem'ten,akophacnh yañemxa'ten,akophach yañema'ten,akophach yañema'ten,akophach yañema'ten
akophach yañema'tyes,akophach yañema'tyes,akophach yañema'tyes,akophach añema'tyes,akophach yañema'tyes,akophxch yañema'tyes
a'koshach shónte' a'bellen,a'koshach shónte' a'belpen,'koshach shónge' a'belldn,a'koxhach shónte' a'bellen,a'koshach shóte' a'bellen,a'koshach shónte' a'bellfn
akowentenan llollo pokashe'm nomeke'llomho,akowentenan llollo pokkashe'm nomeke'llomho,akowetenan llolplo pokasye'm nomeke'llomho,akowentenan llollo pokashe' nomeke'llomho,akowentenan llollo pokashe'm nomeke'llomho,akowentenan llollo pokashe'k nomeke'llojho
a'kowenteñet,a'kowenteñet,a'kowenteñe,a'kowenteñet,a'kowenteñet,'kowenteñet
akran tso't okallemh manopamp yaneshllomh pakllomh the'pa' pekellkë' pa'tatsmeto errponthe' pa'namen xhop shontanom ranto,akran to't okallemh manopamp yaneshllomh pakllomh the'pa' pekellkë' pa'tatsmto errponthe' pa'namen xop shontanom ranto,akra tso'tt okallemh manoamp yaneshllomh pakllomh the'pa' pekelkë' pa'tatsmeto egrponthe' pa'namen xhop shontanpm rantko,akran tso't okallemh manopamñp yaheshllomh pakllonmh the'pa' pekellkë' pa'tagsmeto errponthe' pa'name hop shontanm ranyo,akran rtso't okallemh mabopamp yaneshllomh pakllomh the'pa' pekellë' pa'atsmeto errponthe' a'namen xhop shontaniom anto,akran ytso't okallemu manopamp yaneshllomh pakllomh fhe'pa' pekellmë' pa'tatsmetpo errponhhe' pa'namen zxhop shonanom rato
akreñets,akreñefts,akreñsts,akreñets,akreñetss,akreñets
al abe'thach,a abe'thach,l abe'thach,al abe'thach,al abe'thach,l abe'thach
alalala amach seya'na'tache sachor,alalala amach seya'na'tache sachor,alalalla amach seya'na'tsache sachor,alalala qamach deya'na'tache sacho,alalala amach seya'na'tache sachor,alalala amach seya'na'tache sachor
alalala amach seya'natache sachor werrach tsapath,aolalala zamach seya'natache sachor werach tsapath,alalala xmach seya'natache sachor wrrrach tsxpath,aplalala amac seya'natache saxhor werrach tapath,alalal amch seya'bnatache sachofr werrach tsapatjh,alaolala amach seyqa'natache sachor werrqach tsapatjh
alalala amach seya'na'tache sachor werrach tsapáth,alaala amach seya'na'tache saxhor werrach tsapátu,alalala amah seya'na'tacne sacnor werdach tsapáty,alalala amch seya'n'tache sachor werrach tsapáth,alzlala wamach seya'na'tache sahor wererach tsapáh,alalalla amaxch seya'na'tadche sachor werracch tsapárth
alalala atethwaña pepapar ñerra'm na alalala,alalala atetnhwaña pdepapar ñerrq'm nxa zlalala,alalala atdthwaña pepapar ñerra'mm n alalala,alaala atethwaña pepapar ñerra'm na alalala,alalala atethwaña pepapar ñerra'm na alalala,alalala atetwaña pepapar ñrra'm ja alalala
alalala the'pa' o'ch nepenklla'terrnas sachor atthoch wena,aolalala the'pa' o'ch nepenklla'terrnas sacyor atgthoch wea,allalala he'pa' po'ch nepenklla'terrnaas achor atthoch wenq,allalala the'pa' o'ch nepenkloa'terrnas sadchor atthoch wna,alalala the'pa' o'cg nepenklla'terrnas sachor atthoch wena,alalala the'pqa' o'ch nepenkpla'terrnas schor atthoch wena
algo atsáma'tña,algo atsáma'tña,aogo atsáma'tña,algo atsáma'tñ,algo atsáma'tña,alhgo atsáma'tña
algo sellasellpa' ñá a'tapaterre' yompor poe'ntañ sém,algo sellasellpa' á a'tapaterre' yompor poe'nta sém,apgo sellasllpa' á a'tapaterre' yiompor poe'ntqañ sé,ago sellasellpa' ñá a'tapaterre' yompor poe'nntañ sém,algo sellasellpa' ñá a'tapatere' yompof oe'ntañ sém,alg sellasellpa' ñá a'tapatrre' yomor poe'ntañ ém
algo shomoellta'pe,alg shomofellta'pe,algo shomoeellta'pe,algo shomoella'pe,alglo shomoellta'pe,lgo shomoellta'pe
allach a'poena anetso,allach a'poena aneso,allch a'poena anetso,allach a'poena anetso,allach a'poena anetso,allach a'ploena antso
allach kowé o'ch pót,allach kowé po'ch pót,allachh koewé o'ch pót,allach kowé 'ch opót,allach kiwé o'cjh pót,allach lowé o'ch pót
allach pha'pa añé patsro,allah pha'pa añé patstro,allach oha'pa añé patsro,allach pha'pa añé patsro,apllach pha'pa añé patsro,alach pha'pa añé patsro
allach sa'pa' arrma napa' o'ch neporena' komon cheshatholleshañapa' allo' a'poet awo' allerren ñéth nanak koñe'thshempa' allo'ch a'phthoterrane'th pa'monasheñ ta'm werrach apá attheñapa' awo'xho tsapoen,qallach sa'pa' arra napa' o'cuh neporen' komon cheshatholleshañapa' aloo' a'poet awwo' allerren ñéth nanzak kñoñe'thshempa' allo'ch a'phthoterrane'th pa'monasheñ ta'm wsrrach apá attheñapa' awo'sho tsapoen,allach sa'pa' arrma napa' o'ch neporena' koon fheshatholleshañapa' allk' a'poet aeo' allerren ñéth nanak koñe'thshepa' allo'ch a'phthñoterrane'th pa'monsheñ tqa'm serrach alpá attheñapa' awo'xho tsapoen,allach sa'pa' arrma naopa' o'ch neporena' kmon cheshathollexshañapa' allo' a'pet awo' allerren éth nanak koñe'thxhempa' allo'ch a'phthoterranfe'th pa'monasheñ ta' werrach apá attheñwapa' awo'xho tsapon,xallach sa'pa' arrma napa' p'ch nepodena' koon cheshatholleshañapa' allo' a'poet qawo' allerren ñéth anak koñe'thshempa' allo'ch a'phthotfrrane'th pa'monaseñ ta'm werrach apá attheñapa' aso'xho tsapoen,allach sa'pqa' arrma napa' o'ch neporen' komon cheshatholleshañapa' allo' a'poet awo' xallerren ñéth nahak koñe'thsempa' allo'ch a'phthoterrsane'th ña'monasheñ ta'km werrach apá attheñapa' qawo'xho sapoen
all agapoñet po'yethaña ya'netser na'yeset pa'namen chorra'poets,all gapoñet po'yethaña ya'netser n'yeset pa'namen chorra'poets,all agapoñet po'yethaña ya'netser na'yest pa'namen chorra'poets,ll agapoñe po'yethaña yqa'netser na'yesert pa'najmen chñorra'poets,all agzapoñet po'yethaña ya'netser na'yeset oa'namen chlorra'poets,sll agapoñet po'yethaña ya'metser na'yesef pa'namen chorra'pets
allaka' yarepenya a'penrrot yarepen yamoe keñyawe keñyawe keñyawe,allaka' yarepenya a'penrrot yarepen yamoe keñyawe keñyawe keñyzawe,aplaka' yarepenya a'penrroot arepen yamoee keñyawe keñyawe keñyaw,allaka' yarepenya a'penrrot yarpen yamñoe keñyawe keñyawe keñhyawe,allaka' yarepenya a'penrrot yarpen yamoe ikeñyawe kdñyawe keñyawe,allaka' yareenya a'enrrot yarepen yamoe keñyawe keñyawe keñyawe
allaka' yarepenya 'penrrot yarepenyamoe keñyawe keñyawe keñyawe,allaka' yarepenya 'penrrot yarepenyamoe keñyawe keñyawd keñyawe,allala' yarepenya 'penrrot yarepenyamoe keñyawe keñyawe keñyawe,allaka' yarepenya 'penrrlt yrepenyamoe keñyawe ksñyawe keñyawe,alpaka' yarepenya 'penrrot yarepnyamoe keñyawe keñyawe keñyawfe,allaka' yarepenya 'penrrot yarepenyamo keñyawe keñyawe keñyawe
alla ma'psheñtet atthoch máporr,alla ma'sheñtet attoch máporrr,alla ma'lpsheñtet tthoch máporr,alla ma'psheñtet athoch máñporr,qalla ma'peheñtet athoch máporr,alla ma'psheñtet ahtthoch máporr
all ama'ten allcha' nan pochoyor,all ama'ten alldcha' nan poxchoyor,apl ama'tej allcja' nan poochoyor,all ama'ten allcha' nan pochoyor,sall ama'ten allcha' nan pochoyot,alll ama'ten allcha' nan pochoyor
all ama'ten tasoll al tapoen pa'me,all aa'ten tasloll a tapoe pa'mse,al ama'ten tasoll l twapoen pa'me,wll ama'ten tasoll al tapoen a'me,all ama'tren tasopll apl tapoe pa'me,all ama'ten tasoll ao tapoen pa'ne
all ama xheno atsne' ñamha was,all amwa xheno atse' ñamjha ws,wall ama xheno atsne' ñamuha was,all ma xueno atsne' ñamh was,all ama xheo atsne' ñamha was,alpl ama xhenp atsne' amha waq
allame'ttsa serrpare'tenetpa esempoña bhaxhayo'tsenetpa' o'ch thaya a'rrápa'tonet neklle' atthoch nexhore'tanet pamo'ts,allame'ttsa serpare'tenetpa esempoña bhaxhayo'tsenetpa' o'ch thaya a'rrápa'tonet nweklle' atthkch nexhore'tanet pamo'tws,allame'ttsa serrpare'tenetpa esempopña bhaxhqyo'tsenetpa' ko'ch thayw a'rrápa'tonet nekklle' atthoch nexhore'tanet pamo'tzs,allame'ttsqa serrpare'tenetpa esempoña bhaxhayo'tsenetpa' o'c thya a'rráp'tonet neklle' atthoch nexhorfe'tanet pamo'ts,allame'tts serrpare'tentpa esempoña hhaxhayo'tsenetpa' o'ch haya a'rrápa'tonet neklle' atthoc nexhore'tanet pamo'ts,allame'tysa serrpare'tenetpa esempoña bhaxhayo'tsenetpa' o'ch thayza a'rrápa'tonet neklle' atthoch nexhore'tanet pamo'tw
allame'ttso eñosamen watrotro allempoña poepañerpa' ot,allame'ttslo eñosamfen watrotro alolempoña poepañerpa' ot,aollame'ttso eñosamfn watrotrko allempoña poepañerlpa' ot,allame'ttso eñosamen wtrotro allempoña oepañerpa' t,allame'tso eñoamen watrotro allempoña poepañerpa' ot,allame'ttso eñosqamen watrtro allemoña poepañerpa' ot
all amha'ten allcha' nan pochoyor,all amha'ten allcha' naan pochoyor,all amha'ten allcha' nan pochñoyor,all amha'ten allcha' nan pochoyor,aall amha'ten allch' nan pocoyor,all amha'ten allcha' nan pochogor
all amhratenet pokollaxhno allapatserr,wll amhratenet pokollaxhno allapatserr,all amhratenet pokolladhno qallapatserr,all amhratsenet pokollaxhno allapatserr,all amhratenet pokollaxhno allapatserr,alll ahratenet pokollaxhn allapatserr
all amre'tenetpa' pa'namenoch nare'tyenet tharraña koñethach penet pámoer o'ch moetsetpa' attho'ch shallemmotho'tyeñet ñamha tamechenet eshkënoch amá emhcha'teneto berroxhno,xll amr'tenetpa' pa'namenoch nare'tyenet tharraña koñethach peet pámoer o'ch moetsrtpa' attho'chh shallemmotho'tyeñef ñamha tamecheneft eshkënich amá emhcha'trneto berroxhno,all amre'tenetpa' pa'namench nare'tjenet tharraña koñeethach penrt pákoer o'cch moetsetpa' attho'ch shallemmotho'tyeñet ñwmha tamechenet eshkkënoch amá emhcha'teneto berroxhno,all amre'tenetpa' pa'amenoch nare'tyenet tharrapa moñethach penet opámoer o'ch moetsetpa' attho'ch shallemmoto'tyeñet ñammha htamechenet eshkënoc amá emhcha'teneto berroxhno,all amre'tenetpa' pa'amenoch nare'tyenet tharraña koñethach pnet pámoer o'ch moetsetpa' atyho'ch shallemmotho'tyeñet pñamha tamechenet shkënoch amá emhcha'teneto beroxhno,all amre'teneta' pa'jnamenoch nare'htyenet tharraña lkoñethach penet pámoer ño'ch moetsehpa' attho'ch shallemmotho'tyeñet pamha tamechenet eshkënoch amá emhcha'teneto berrohno
allanach,allanach,allanach,allanzach,aplanach,allansach
alla na'ñemate'rrer atthó o'ch nakowentach neserrparña,alla na'ññemate'rrer atthó o'fh nakowentch neserrparña,alla na'ñemate'rrer athó o'ch nakowentach neserrparñ,aolla na'ñemate'rrer atthó o'c nakowentach neserrparña,lla na'ñemate'rrer atthó 'ch nakowentach neserrparña,allla ma'ñemate'rrer atthó o'ch nakowenach neserrparña
all anen kornesha' korsoch,all anemn kofnesha' korsoch,all anen kornesha' korsoch,all anen kornesh' korsoch,alpl anen kornfsha' korsoch,alll znen kornesha' korsoch
all añ momoe' allame'ttso'tsen eñóteñtsopawo,all añ momke' allame'ttso'tsen eñóteñtsopaewo,ll añ momoe' allame'tttso'tsen eñóteñtsopawo,all añ momñe' allame'ttso'tsen eñóteñgtsopawo,alp añ momoe' allame'ttso'tsen eñóteñtsopawo,all añ momo' llame'ttso'tsen eñóteñtzsopawo
alla órrterra kellé ñeth chénkatsa,alla órfterra kellé ñeth chénkatsa,alla órrterra kellé ñeth chénkats,alla órrterra kwllé ññeth chénkatsa,ala órrterra kellé ñet chénkatsa,alla órrterra kllé ñet chénkatsa
alla phañema'ter allothpa' phakowenter,alla phañema'ter allothpa' phakowenrer,aloa phañema'ter llothpa' phakowenter,alla phaema'ter allothpa' phakowentser,lla phañema'ter allothp' phakoweter,alla phañma'ter aloothpa' phakowsenter
alla pha'ñema'terrerr pekllek atthóthpa' phakowentater ñethómar thépa' phokwe,zalla pha'ñema'terrerr peklplek atthóthpa' phaowentater ñethómar thépa' phokwe,alla pha'ñema'terrerr pekllek atthóthpa' phakowentater ñethómar thépa' pbokwe,alla pha'ñema'terrerr pekllfk atthóthp' pakowentater lethómar thélpa' phokw,xlla pha'ñema'terrerr pekllek atthótpa' phakowebntater ñethómar thépa' phokwe,alla pba'ñema'terrerr pelkllek atthórhpa' phakowentater ñethómar thépa' phokww
all aphthotnet ñamha all anapoenet eñóteñets,ll aphthotnet ññamha wall anapoenet eñóteñets,al aphthotnet ñamha aol anapoenet eñóteñets,all aphthotnet ñamh all anapoenet eñóteñets,xll aphthotneh ñmha alll anapodnet eñóteñes,al aphthotnet ñamh all anapoenet fñóteñets
all apxhena shóntena mapoe' apxhareth,all apxhena ahóntena mapoe' apxhareth,all apxhenqa shóntena mspoe' apxhareth,all zpxhena shóntena mapoe' apxhareth,al spxhena shóntea kmapoe' apxhareth,al apxhena shóntena mapoe' apxhareth
all apxhenet pa'namen kakaxhno,all apxhenet pa'namdn kakaxhno,all apzhenet pa'namen kakaxhno,ll spxhenet pa'namsn kakaxjno,all apxhrenet pa'namen kzakaxhno,all apxhejnet pa'namemn kaakaxhno
all apxhenetpa' nanak moétsoñentenet,al apxhenetpa' nanaik moétsoñentenet,all aapxhenetpa' bnanak moétsoñentenet,al apxhenetpa' nanak joétsoñentenet,al axhenetpa' nanak moétsoñentenet,all apxhenetpa' anak moétsoñentenet
all apxheñtso apoktateñet ñamha kellkënet é'pa eñotatyeñets ñethcha otyeset allcha apxha cheshanesha ateth ñerra'm,zll apxheñts apoktateñet ñamha kellkënet é'pw eñotatyeñets ñethcha otyweset allca apzxha cheshanesha ateth ñerra'm,all apxheñtxo apomtateñet ñamha kellkënet é'pa eñotatyeñets ñethchx otyeset xallcha apxha cheshanesha aeth ñerra'm,aoll apxheñtso apoktsateñet ñamha kellkënt é'pa ñotatyeñets ñethcha otyeset allchq apxha cheshaneha ateth ñerra',all apxheñto apoktateñrt ñamhxa kellkëne é'pa eñotatyeñets ñethcha otyeset llcha spxha fcheshanesha ateh ñera'm,alpl apxheñtso apokateñet ñamha kellkënret é'pa eñotatyeñdets lethcha otyeset allcha apxha cheshanesha wteth ñerra'km
all apxheñtso apoktateñet ñamha kellkënet épa eñotatyeñets ñethcha' otyeset allcha' apxha cheshanesha ateth ñerra'm,ll apxheñtso apoktateñet ñamhza kellkënet épa eñtatyeñets ñethcha' otyreset allcha' apxha cheshanesha ateth ñrerra'm,all apxhreñtso apkoktateñet ñamha kelloënet épa eñotatyeñet lethcha' otyeseh allcha' añpxha cheshanesa ateth ñerra'm,all apxheñtso apoktateñet ñamha kellkënet éa eñoytatyeñets ñethcha' otyfeset allcha' apxha cheshanesha atrth ñerra',al zapxheñtso apokateñet ñamha kellkënett épa eñotatyeñets ñethcha' otyeset allha' apxha cheshanesha ateth ñerra'm,all apxheñtso apoktatñet ñamha kellkënet épa eñotatyeñets ñethcha' otgeset alcha' apxha cheshanesha ategth ñerra'm
allarach yamata'theñ arrapoxhno,allarach yamata'theñ arrapoxhno,allarach yamata'theñ aerapoxhno,aloarach yamata'thel arrapoxhnlo,alarach yamata'theñ arrapoxhno,allarach tamata'theñ arrapoxuno
all arrorothopa' all eshotena jo,all arrorothopa' all eshotna jo,all arrorotthopa' all eshotena jo,alll arrorothopa' all eshotdena jo,all arrorothopa' all eshotena ujo,all arrorothopa' all eshotena j
allásmarerr,alásmarerr,aplásmarerr,allásmarerr,allásmarerr,allásmarerr
all asollesopa' themettsowañeñ allotsen mapoe ñéth otenet pokonañemh,all asollesopa' themettsowapeñ allotsen mapoe ñéth otenet pokonaañemh,all asollesopa' themettsowxñeñ alotsen maopoe ñéth otenet pokonañemh,all asollesopa' themettsowañeñ allotsen mapoe ñéth otenet pokonqñemh,all asillesopa' themettsowañrñ allotsen mapoe ñéth otenet polonañemh,alp asollesopa' themetgtsowañeñ allotsen mapoe ñéth otehet pokonañemh
alla some'terrer mamekpa yoreñ allempopa' o'ch alla sererr,alla some'terrer maekpa yoreñ allempopa' o'ch alla ererr,zalla some'terrer mamekkpa yorreñ allempopa' o'ch lla seererr,alla some'terrer mamekpa yoreñ allempopa' o'h alla sererr,alla some'terrer mamekpa yoreñ allemppopa' o'ch alla sererr,alla some'terrer mamekpa yoreñ allempoñpa' o'vh ala sererr
alla' tho'm moecheth eshkënoch chomhpa' o'ch met eñe paxharr attho'ch amá axhanme,alla' thlo'm moeheth eshkënoch chomhpa' o'ch met ee paxharr attho'ch amá achanme,alla' tho'm moecheth ehkënoch chomhpa' o'ch met eñe paxnarr artho'ch amá axhanme,alla' to'm mloecheth eshkënoch chomhpa' o'ch me ele pqxharr attho'ch smá axhane,alla' tho'j moecheth eshkënoc comhpa' o'cj mt eñe paxharr attho'ch qamá axhanme,alla' th'm oecheth eshënoch chojhpa' o'ch mwet ele oaxharr attho'ch amá axhannme
allatserrcha' cheporrena,allatsdrrcha' cheporrena,allatserrcha' cheporrena,allatserrcha' cyeporrena,allatserfcha' cheporrena,wllatserrcha' vheporrena
all atthemathtena popoñechen thoreteñets atthoch es yeyexhkaten,all ztthemathtena popoñeechen thoreteñets atthoch es yeyexhkate,all atthemathtena popoñechen thoreteñets qatthoch es yeyexhkaten,all atthematthtena popopechen thoreteñets atthoch s yeyexhkaen,all atthemathtena popoñefchen thoreteñets atthoch es yeyexhkaten,alll atthemathtena popñechen thoreteñts atthoch es yeyexhkaten
alla yañema'terrerr serrpare'teñets allempo o'ch a,alla yañemwa'terrerr serrpare'teñets allempo o'ch a,alla yañem'terrerr serrpare'teñets allsmpo o'ch w,ala yñema'terrerr serrpare'teñetws allempo o'ch ,alla yañea'terrerr serrpare'teñets allempo o'ch aa,alla yañrema'terrerr serrpar'teñets allempo 'ch a
allcha' chechan pa'sme'll alloch a'npoenan wás,allcha' chechqan pa'sme'll alloc a'npoean ás,allcha' chechxan pa'sme'll alloxch a'npoenzan wás,sllcha' chechan pa'sm'll alloch a'npoenan wás,allcha' cheechan pa'sme'll alloc a'npoenan wás,allcha' chechan pa'me'll alloch a'npoenan wáxs
allchaña eñotateñet poechemeresha atethcha' korre't atthoch eñech eñwenet,allchapa eñotateñet poechemerwesha atehcha' krre't athoch eech eñwenert,allchaña eñotateñet poechemerdesha atethcha' korre't athoch eñech eñwenet,allchaña eñotateñet poechemeresha atrethcha' korre't artthoch eñech eñwene,allchaña eñotateñet poechemeeresha atethcha' orre't atthoch eñfech fñwenet,allchaña eñotateñet poechmeresha atethcha' korre't atthpch eñech eñwenet
allcha'ña ñanem yaparra tsachllom atthoch e'ñe kowen kamrechares,allxha'ña ñanem yaparra tsachlliom atthoch 'ñe kowen kamrrchares,allcha'ña ñanem yaparra tsachllom atthoch e'ñe kowen kaamrechares,allchza'ña ñamnem yaprra tsachllom atthoch e'ñe koen kamrehares,allcha'ña ñanem yaarra tsachllom atthoh e'ñe kwen kamrechares,allcha'ña ñandem yaparr tsachllom atthoh e'ñe kowen kamrecharews
allcha' otenet ñeth kothapechenet ñamha ñeth llekatenawet poesheñatets,allha' otenet ñehh kothapechene ññamha ñetj llekatenwet poesheñatets,allchq' otenet ñeth kothapecheneft ñamha ñeth llekatenawet poesheñatets,allcha' otnet ñeth kothapechent ñamha ñetjh llekatenawet poesheñatets,allcha' oteet ñeth kothapechenet ñamha ñeth llekatenawet poesheñatets,llcha' otenet ñeth kpthapechenet ñamha ñdeth llekatenawet poesheñatets
allcha' péna'yes a'phtho't ñamha yorexh,alldha' péna'yes a'phtbo't ñamhs yorech,allcha' péna'yes a'phtho't ñamha yorexh,allha' péna'hyes a'phtho't ñamha yorxh,allcha' péna'yes a'phtho't ñamha yorexh,allfcha' péna'yes a'phtho't ñamha yorexh
allcha' pétsotsa x errathe' e'ñe poktena,allcha' pésotsa  errathe' e'ñe potena,allcha' pértsotsa x errathre' e'ñe poktebna,alcha' pétsotsa x errwathe' e'ñd oktena,allcha' pétsotsa x errathe' e'ñe poktena,allcha' pétsotsa  errxathe' e'ñe pokhena
allcha' poexhayenetña atarwasañ amachkayeña pekllatsto xhochkaye petarwaserr phachporrerraña womenk,allcnha' poexhayenerña atrwasañ amachkayeña pekllahtsto xjochkaye petarwasert phacbporrerraña womenk,alllcha' poexhayenetña atarwasañ amchkayeña pekllatsto xhochkaywe petarwsaserr phachporrerraña womenk,llcha' poexhayenetña atarewasañ amachkayeña pkllatsto xhochkaye petarwasegr phachporrerrañq womeno,allcha' poexhayejetña atarwasañ amachkayeña pekllatsto xhochkaaye petarwasdrr phachporrerraña women,llcha' poexhayenetña atarwasañ amachkayeña pekllahtsto xhochkaye petarwaserr phachporrerraña womenk
allcha' yematyeset ñeth achpatet tharromar o'ch otenet esempo o'ch nachenkaterr nepoerpa phathe nápoerre ñethomaroña yematannenet,alcha' yematyeset ñeth achpatet tharrromar o'ch otenet esfempo o'ch nachenkaterr nepioerpa pyathe nápoerte ñethomaroñ yematanneet,allcha' yematyeset ñetg afhpatet tharromar o'ch otenet esempo o'ch nachenkaterr nepoerpa pjathe nápoderre ñethomafroña yematannnet,allcha' yeatyeset ñeth achpaet tharomar o'cyh otenegt eempo o'ch nachenkaterr nepoerpa lhathe náperre ñethommaroña yematannenet,allcha' yematyeset ñeth achpatet tharromar o'cy otenet esempo o'ch nachenkatefr nepoerpa phathfe nápoerrre ñethomaroña yematannenet,allcha' yematyeset ñeth achpatt tharromar o'ch ottenet esempo o'ch nachenaterr nepoerpa phathe nápoerre ñethomaroña yemstannenet
allcha yenare't yesherbeso't popoñ charo,alcha yenare't yesherbeso't popoñ cbharo,allcha yenare'y yesherbeso't ppoñ chao,allcja yenare'ft yrsherbeso't opoñ chatro,alcha enare't yesherbeso't popoñ chafo,xllcha yyenare't yesherbeso't ñopoñ charñ
allcha' yexhatanet thaye't ama awerra' po'poñ anetso,allcha' yexhatanet thaye't amxa awerrz' po'poñ aneteso,allcha' yexhatanet haye't aka awwrra' po'poñ ajetso,allcha' yexhatanfet thaye't amx aerra' po'poñ anetso,xllcha' yexatanet thaye't ama awserra' po'poñ aneto,allcha' yexuatanet thaye't amqa awerrs' po'poñ anetso
all chopoen poerrarmexhnopa' pokteña o'ch yekwamper atthoch yáshotayen,al chopoen poerrarmexhnopa' pkteña o'ch yekwamper atthoch yáshotayen,al chopoen poerrarmexhnopa' pokteña o'ch yekwamper atthovh yáshotayen,all chopen poerrarmexhnopa' pokteña o'ch tekwamper atthoch yáshotayen,al chñpoen poerrarmexhnopa' okteña o'ch yekwamper atthch yáshotayen,all chopoen poerrarmexhnopa' poktea o'ch yekwamper atthñch yáshotaen
