,sentence,error_0,error_1,error_2,error_3,error_4
0,a yaglu ch yaglu e yaglu g yaglu giswajkaka yagotikolu e,qa yalu chh yagplu e taglu g yaglu gswajkaka yagotikolu we,qa yaglu cb yaglu e yaglu fg yabglu giswajkakw yagotikolu e,sa yalu dh yagu e yglu  tyaglu giswajkaka yagotikolh r,a yaglu c yaglu de yalu g yaglu giswajkaka yagotikolu re,a yaglu ch yaglu e yagolu g yaglu gswajkaka yagotikoolu e
1,cecilia kamrutlo tonaje wayrorojiyma ga wa gepkaka tkamruta,ceclia kamrtlo tnaje wahrorojiyma ga sa gepkaka tkamruta,cecilia kamrutlo tonajee wayrorojiya gqa wa gepkaka tkwamruta,ceciia kamrutlo tonaje wayrorojiyma a w gepkaka tkameuta,cecilia kamerutlo tonaie wayrorojiyma ga wxa gepkaka tkxmruta,cecili kamrutlo tonaje wayrorojiyma ga wza gepkaka tamruta
2,chalugata tokanchi koshpakaluru gewi pyonatinitkalu shinikanchi chinyawaka,chalugata tokanchi koshpakaluru gewi pyonatinnitkalu shinikanchi chibnyawaka,chalubata tokanchi koxhpakaluru gewi pyonatinitkalu shinikancbhi chinyawaka,chaluata tokanchi koshpqakaluru gewi pyonatinitkalu shinikanchi chinyawaka,chalugafa tokanchi koshpakaluru gedi pyonatinitkalu shinikandchi chinyawaka,chalugata okanchi koshpakaluru ewi pyonatinitkalu sinikanchi chinyawaka
3,chalu pasto mxigi ganokaluru kopraakaluru wane rixa,chau pasto mxigi ganokalueru kopraakaluru wanse rixza,chalu lasto mxigi gxanokaluru kkopraakaluru wane rixa,chalu asto migi anokaluru kopraakaluru wane risxa,chaluu pasto mxigi gaokaluru kopraakaluru wanr ruixa,chalu pasto mxigi ganokaluru kopraakaluru wane ixa
4,chalu sapjikaluru wane rixa ganokota wa,chalu sapjuikaluru wqne rixa ganokota swa,chalu sapjikaluru ane erixa ganokota a,chalu sapjikaluru wqane roxa ganokota wa,cyhalu sapjikaluru wane rixa ganokpota wa,chalu spjikaluru wane rixa ganokota w
5,chancho pixkalutno kona ptsega pixka rixa nopixi,chzncho pixkalutno kkona ptsegz pixkza rica nopixi,chanccho pixkalutno mona otsega pixka rixa nopixxi,chancjo pixkalutno kona ptsega opixka rixa nopixi,chancho pixkalutno kkna ptsega pixk rixq nopii,fhancho pixkalutno mkona pptsega pixka rixa npixi
6,chanixkana sana chinanu,chanixkan sana cchinanu,chanixkana sana cjhinanu,chahnixkana sana hinanu,chanixkana saha chinanu,chanixkwana sana chinanu
7,chawo wane china shikaleta kapogalu retini ga wa yojriklewatini,chawo wabne china shukaleta kapogallu retini yga wwa yojrikleaatini,chawo wane china shikaleta kapogalu retii ga wa yojriklewatini,chawo wane china shikaleta kapogalu retimi g wa yojriklewatini,chawo wane chimna shikaleta kpogalu retini ga wa yojriklewatini,chawo wanre chlina shikaleta kapotgalu etini ga wa yohjriklewatini
8,chichi chichi chigkalurni chingimata,chichi chichi chigkalurni chingimata,chichi cuichi chigkalurbni chinginata,chichi chichi chigkalurni chingimata,chochi chichi chigkalurnki chigimata,chichi chichi chligkalurni chingimata
9,chichi gogwakate rumretka kakwalupa wkoshpakiniplu ganikaji gajerujipje tsomitka kamaleji pinitsiyma gonu rupchika wale prika chinanupa,chichi gogwakat rumretka kakwalupa wkoshpakiniplu yganikaji gajerujipje tsomitka kamaleji pinitsiyma fgonu rupchika wale prila chinanupa,chicbi gogwakagte rumretka kakwalupaa wkoshpakiniplu ganikaji gajerujipje tsomitka kamaleji piitsiyma gonu rupchika wale priika chibanupa,hichi gogwakate rumretksa kakwalupa wkoshpakiniplu ganikaji gzjerujipje tsomitka kamaleji pinitsiyma gonu rupxchika wale prika cjhinanupa,chichi gogwakatd ruretka kawalupa skoshpakiniplu ganikai gajerujipje tdsomitka kamalji pinitsiyma onu rupchika ale prika chinanuoa,chicbi gogwakate rumretk kakwalupa wkoshpainiplu ganikaji gajerujipje ttsomitka kamaleji pinitsiyma onu ruupchika wale prika chinanupa
10,chichikni tkapuruta chichi taluka,chichikni tkapuruta chichi faluka,chichikni tkapkuruta chichi taluka,chichikni tkapjuruta chichi talulka,chichikni tkapurufa chichi taluka,chichikni tkapuruta chichi taluka
11,chichi wkamrutlu ch yonga tokanchi gomkagimtachri,chichi wkamrutlu ch yoga tokanch gomkagjimtachri,chicuhi skamrutlu ch yonga tokanchi gomkagimtachri,chchi wkamrutlu ch yonfa tokanchi gomkagimtachri,chiichi wkamrutli ch yonga tokanchi gomkagimtachri,chichi wkamutlu ch yonga toanchi gomkagimtachri
12,chichiyma yoshikpawatka kamero rixinripa chichpawa,chichiyma yoshikpawqtka kamero ixinripa chichlpawa,chichiyma yoshikpawatka kamro rixlinripa chichpaa,chichyma yoshipawatka okamero rxinripa hichpawa,chichiuyma yoshikpawatka kamero rixonripa chichpawz,chichiyma ykoshikpawatka kamero rixinripa chichpawa
13,chichni chingimata panikanru pupji wale pawatanu chichi chinkalurni chingimata wa tenoyalutu satu tokanchi,chichni chingimata panikanru pupji walr pawayanu chichi chinkalurni chinimata wa tenoyalutu satu tokancho,chichni chingimatw panikanru pupji walse paatanu cghichi chinkalurn chingimata wa tenoyxlutu satu tokanchi,chichni chingimata panikanru pupjj wwale pawatanu hichi chinkalurni chingimata w tenoyalutu sau tokanchi,chichni chingikata panikanr pupi walre pawatanu chichi chinkalurni cingimata wa ttenoyalutu satu tokanchi,chichjni chihngimata panikanru pupji wale pawatan chichi chinkslurni chingimata a tenoyalutu satu tokanhi
14,chiji gapka wanjitanu wumkata jirgaletyaplu kakwalu wuynumsakakanu gi papko gogne ranjitka chiji jirgikolupa kakwalu,ciji gapka wanjitanu wumkatq jirgaletyaplu kakwalu wuynumsakakanu gi papmo govgne ranjitka cniji jirgikolupa kakwalu,chiji gxpka wanjirtanu wumkata jirgaletyaplu kalwalu wuynnumsakakanu g papko gogbne ranjitka ciji jirgikolupa kamkwalu,chijj gapka wanjitanu wumkata jirggaletyaplu kakwalu wuuynumsakakanu goi papko ggne ranjitka chiji jirgikolupaa kakwalu,chiji gañpka wanjitwnu wumkayta jirgaletyaplu kakwal wuynumsakakabnu ti papko gogne ranjitka chijl jirgikñolupa kakwal,ciji galka wanjitanu wumkata jirgaletyapl kqkwalu wuynumsakakanu gi papko gogne ranjitka chiji jirgikolupa kakwalu
15,chiji runa gitspikletya gina teno yagata,chiji run gitspikltya glna teno yagata,chiji runa gitspikletya gins teno yagata,chiji druna gitspikoetya gina teno yagata,ciji runa gispikletya gina teno yzagata,chinji runa gitspikletya gina teno yagaa
16,china chawo kapogalu retini,china cawo kaogalu retini,chija chawo kaopogalu retini,cnhina fchawo kapogalu etini,china chwawo kkapogalu retini,chlna chawo apogalu retuni
17,china chiklu pagixanu retini,china chklu pqagixanu fretini,china chiklu pagixaniu retini,chimna chiklu pagixan retini,cnina cjiklu pzagixanu retini,chinwa chiklu pagixanu regtini
18,china gogru gogistsi rixinitka wale rugkakleta,chin gkgru gogisftsi rixinitka ale rugkakleta,china gogru gogiwtsi rixinotka wale rugkakleta,china gogru gogistsii rixinitk wale rugkaklet,china gogru gogistsi rixinitka wale rugkaketa,chin gogru gogistsi rixinifka wxle rugkakleta
19,china mosa salwatachine yine rugkakleta,chijna mos slwatachine yine rugkakleta,chinna mosa salwagachine yine rugkaklta,cina mosa salwatachne ine rugkakleta,cchina mosa salwatachine yine rugkaklega,china mosa salwatachline yijne rugkakleta
20,china shikaleta gaxawripa rumrerekamtinitka,china shikaleta gaxawrpa rumrerekamtinitka,china shikaleta gaxzawripa rumrerekamtinitka,china shikaleta gaxawrkipa rumrerekamtinita,china shikalrta gaxawripa rumrerekamtinitka,chinqa shikaleta gaxawrpa rumrerekamtnitka
21,china shikaleta jixolu waneklu pyoxika tkalu sana walapu teta,chinna shikaleta jidolu waneklu pyoxika tkaolu sana walapu teta,china shikleta jixolu wanejklu pyodika tkalu sana walapju teta,china shikalfta jixolu waneklu pyoxika tkapu sana walapu tta,chijna sikaleta jiixolu waneklu pyoxika tkalu sxana walapu tet,dchina shikaleta jixolu waneklu pyoxika tkalu sanna aalapu teta
22,china shikaleta koyano gowuka ginyachine yine nachichachine rugkakleta,china shikaleta koyano gowuka ginyachine yimne nachichacbhine rugjkakleta,china shikaleta kkyano gowuka goinyachine yihe nachichachine rugkakleta,china shikaleta koano gowuka ginyyachine yine nachichachine rubgkakleta,chihna shikalta koyano gñwuka ginyyachine yine nachichzchine fugkakleta,cina shikaleta koyqno gouka yinyachine yline nacchichachine rugkakleta
23,china shikaleta motkoko tugkaklewata puknonjerupa,china shikaleta motkoko tugkklewata puuknonjerupa,hina shialeta motkoko tugkaklewata puknonjerupa,china shikaleta motkoo tugkqklewata puknonerupa,china shikaleta motkoko tugkaklewata puknonjerupa,china shikaleta motkko tugkaklewata puknonjerupa
24,china shikaleta pawaskiwa ganjignunrotachri rugkakleta,china shikaleta pawaskwa ganjignunrotachri rugkakleta,hina shikaleta awaskiwa ganmignunrotachri rukakleta,cchina shikaleya pawaskiwa ganjignunrotachri rugkalleta,china sikaleta pawaskiwa ganjignunrotachri rugkwkleta,xhina sikaleta pawaskiwa ganjiygnunrotachri rugkaketa
25,china shikaleta pushro wa rumjikini,chinaa sikaleta pushro wa rumjikinui,china shikaleta puxhro qa rumjikini,cina shiikaleta pushro wa rumjlkini,china shikaleta pushro swa rumjikini,chlina shikaleta pushrk wa rumjikini
26,china shikaleta pwachri gina tepukini,fchina shikaeta pwadchri ginsa tepukini,dhina shikalet wachri gina tepukiini,china shikkaleta pwchri gia tepukini,chinz shikaleta pwachri vgina epukini,china shokaleta pwachri gina tepukini
27,china shikaleta shkiru kamshiro gimatikolupa,china shikaleta shkiru kamshiro gimatikolupa,china shikaleta shjiru kamshiro gimatjikolupa,xchina shikaleta shkiru kammshiro gimatikolulpa,china shikaletx shkiru kamshro gimatikolupa,china shikaleta shkiru kamshuro gimatikolupa
28,china shikaleta tlagwa walapu tetini,china shikaleta tlagwa walapu tetini,chibna shialeta tlagwa walapu tetini,cina shikalet tlagwa swalapu tetinni,chihna shialeta tlavwa alapu teini,china shikaletq tlagwa walapu ttini
29,chingimanata yanshinika nunatyawaka ga wa tenoygimlu tokanchi wane gima china,chingimanata yanshibika nunatawaka ga wa genoygimlu tokanchii wane fgima china,chingimanatza yanshinika nunatyaaaka tga wa tenoygimlu tokanchi wne gima chin,chingimanata ysanshinika nunatyawaka gs wz tenpoygimlu tokanchi wane gima chna,chingimanata yanshinika nunatyawaka ga wa tenoygimlu tokancbi wanw gima dhina,chingimanata yanshinika nunatyawaka gq wa tenoygimlu tokanchi wane gima chia
30,chingimatanna,chingimqtanna,chingimatanna,chingimatann,chingimatanna,chinggimatanna
31,chingimatanruna,chingimatanruna,chingimatanruna,chingimatanuna,cingimatanruna,chingimatanruna
32,chingimatlo wala wa shwamkalo,chingimatlo wala wqa shwwmkalo,chingimatlo dwala wa shwamkal,cchingimatlo waa wwa shwsmkalo,chingimatlo wal wa shwamkalo,chingimatlo wala w shwamkalo
33,chingimatlu klana wa ksuru,chingimatlu klana da kskuru,chingimatlu klanq sa ksru,cyingimatlu klana a ksutu,chingimatlu klaa dwa ksuru,chingimatlu klanwa wa ksuru
34,chingimatna chichikta ranikatka giyagimni waneklunangima rushinikgiwakatlu,chjingimatna chichikta ranikatka giyagimbni waneklunangima rushinikgidakatlu,chingimatna chichikta tranikatka giyagimni waneklunangima rushiikgiwakatlu,cbhingimatna chichita ranikatmka giyagimni waneklunangima rushinikgiwakatlu,chingimatna chichikta ranikatkz giyagimni wanekunangima rushinikgiwakatlu,chingimatna cyichikta raniikatka giyagimni waneklunangima rushijnikgiwakatlu
35,chingimatna mturone,chingimatna mturone,chingimatna mturone,chingimatna mturone,chingimatna mtutone,chinfgimatna mturone
36,chingimatna wa mturune,chingimatna wq mturune,chingimatna wa mturune,chingikatna w mturkne,dchingimatna wa mturunr,chingimatna wx mturhne
37,chiniri wuynumsakakanu kluneru peta tye yaglu yegiya,chiniiri wuynumsakakanu kluneru peta hye yaglju yegkya,hiniri wuyumsakakanu kpuneru peta ye yaglu yegiuya,chiniri wuynumsakakanu kluneru peta tye yzglu yegiyx,chinkri wuynumsakakanu kluneru peta tye yaglyu yegliya,chiniri wuynumsakakanu kluneru pehta te yaglu yegiya
38,chinna yakokna,hinna uakokna,chinna yakokna,chinna yakoka,chinna yakona,cginna yakokna
39,chinrusha yonga pkamrutanu yinuwakyapa yenewlu,chinrusha yonga pkamrrutanu yinuwayapa yenewlu,cjhinrusha yonga pkamrkutanu yinuwakyapa yenrwlu,chinrusha yinga pkamrufanu yinuwakypa yenewlu,chinrusha yonga pkamrutanu yinuwskyapa uenewlu,hinrusha yong pkarutanu yinuwakyapa yenewlu
40,chinyawaka,chinyawaka,chinyawaka,chinyawaka,chinyawwaka,chinyaaaka
41,chinyawaka pyantatanu,cbinyawaka pyantatanu,chinyawaka pyantatanu,chinywaka pyantaanu,chinyawaka oyantatanu,chinyawaka pyantatanu
42,chinyawakna girchine ga wa ginrochine jiglokikowaka grukoya,chinyawakna girchine ga dwa ginrochine jiglokikoawaka grukoya,chinyawakna girchine g wa ginrochimne jiglokikwaka grukoya,chinyaeakna girchiine a qwa glinrochine jiglomkikowaka grukoyaa,chinyawakna girchine ga wx ginrochine jiglokikowaka grukoya,chinyawaka girchine ga wa gimnrochine jiglokikowqaka grukoya
43,chipi rumyekgimatana gi pachinonanuktalu chingimata muchinanu tsru yonga pyonatinri gimugkaklewlu wa tsrususawle yegi nkagwaklu psoluko kigleru gishpakanu china gwa gimjikachriya goji giyagni waleprika gimjikachri potuko yotunota,chipi rumyekgimatan gi pachinonanuktalu chinyimata muchinanu tsru ynga pyonatinri giugkaklewlu swa tsrusuawle gyegi nkagwaklu psoluko kigleru gishpqakanu china gqwa gimjikachrya goji giyagni waleprika gimjikachi potuko yotunota,choipi rumyekgimatahna gi pachinonanuktallu chingimata muchinanh tsru yongwa pyonatinri gimugkklewlu w ysrususawle yegi nkagwqklu psoluko lkigleru gishpakzanu china gwa gimjikachriya goji giyagni walleprika gimjikachri potuko yotunora,chipj rumyeikgimatana i pachininanuktalu dchingimata muchinanu tsru yonga pyonatinei gimugkaklwwlu aa tsrusuawle yei nkagwakolu psoluko kigleru gishpskanu china wa gimjikachria goji giyabgni wwaleprika gimjikachri otuko yotunota,chipi rjmyekgimatana gi pachinonanktalu dchingimata muchinanu tsrj yona pypnatinri gimugkaklewlu wa tsrususawle ygi nkagwaklu psoluko kigleru gishpakanu china wa gimjikachroya goji giyagni qaleprika gimjikafhri potuko yotunota,chippi rumyekgimatahna gi pachinonanuktalu chingimata muchinanu tsru yonga pyonatinri gimugkaklewlu w tsruususawle egi nkagaklu psoluko kkgleru gishpkanu china gwa gimjikachrya gojii gliyagni waleprikw gimjikachri potuko yotunota
44,chkotu chokoture chkotu malukotu chkotu wamonwanatyatka chkoture chkotu malukotu chkotu,chkou chokoturre chkotuu malukotu chkotu wamonwanatyatka chkoture chkotu malkotu cnhkotu,chktu chokotur chkotu malukotu cghkotu wamonwanatyatka fchkoture cjhkotu mlukotu ckotu,chkotu chokoture chkotu malkotu chkotu wamonwanaytyatka chkoture chkofu malukotu chkoytu,chmkotu chokoture chkñotu maluokotu chkotu wamonwabnatyatka chkorture chkotju malukotu chkpotu,chkotu chokoture chkotu malukiotu chkotu wamonwanatywatka chkoture chkotu alukotu chkotu
45,chkotu kewe yineru pixkalutno kamyono kajixno ga wa kaygalno seyni gipa gijrenanno,chkoty kfewe yiineru pixkalutno kamyono kajino gw wsa kaygalno zseyni tipa gijrenanno,chkotu kewe yuneru pixkalutno okamyono kajixno ga da kaygano seyni gip gijrenanno,chkotu ksewe yineru pikalutno kajmyono kajino a wq kaygalno seynoi gipa gijrenanno,chkotu kewe yoneru pixkalutno kamyno kajixno ga a kaygalno zseyni hipa guijrenanno,hkotu ewe yineru pixkaluno kamuono kajixno ga a kagygalno seyni gpa gijrenannl
46,chkotune maturni wala,chkotune maturni ala,chkotune aturni waa,chkotune matuerni wala,chktune maturni walla,chotune maturnj waola
47,chkotupnirge niikanu yineru,chkotupnirge iikanu yineru,cyhkotupnirge niikanu yjineru,chkotupnirg niikan yinerhu,chkotulnirge niikanu ineru,chkotupnirge niikanu yinsru
48,chochlo gamtaklu yimakyalu ruru,cjochlo gamtallu yimakyalu rufru,chochlo gamtaklu yimamkyalu ruru,chochlo gamtaklu himakyalu ruru,chochlño gamtaklu yimakyalu rru,chocylo gantaklu yimakyalu ruru
49,chochlo wamonuwata,chochlo amonuwata,chochlñ wamonuwarta,chochlo wamonuwata,vchochlo wamonuwata,chochlo wamonuwata
50,choplo waneya gepi mole proji wanepnute kastatlo pamole gepi proji,choplo waneya gepi mole proji wanepnute kasttatlo pamol gepi projoi,hoplo waneyw gepi mole proji anepnute kasyatlo paole tepi promi,choplo wxaneya gfpi molse proji wanepnute kastatlo pamile gepi proji,choplo wanetya gepi mole prouji wanepnute kastatlo pamoe gepi proji,choplo waneya epi mole proji wanepnutr kastatlo pamole geoi pfoji
51,chowretetewane rixa gikshikletu wa rushpakle,chowretfetewane rixa gikshikletu a rushpakle,chowretetwane rixa gikshikletu wa rushpakle,chowreteewane ixa gikshikletu wa rushpakle,chowretetewzane rixa gikshikletu wa rushpakle,howretetewane rixa gikshikletu da ryushpakle
52,chowretete wkamrutlu e yonga tokanchi gomkagimtachri,cowretete wkamrutlu e yonga tokanchi gomkagimtachri,chowretete wkamrutlu e uonga gtokanchi gomkagimtachri,cgowretete wkamrutlu  yñnga tokabnchi gomkagijmtachri,chowretete wkamrutlu e yonga tokanchi gomkagimtachti,chowretete wkamrutlu f yonga tokanchi gomkagimtachri
53,chpichpi chkotu wasrukanru kigle rixinripa tokanchi wixako wtokanu,chpichpi chkotu wasrukanru kigple riinripa tokanhi wixqko wtokanu,chpichpii ckotu wasruanru kigle rixinripa tokanchi wixqako wtokannu,chpichpi chkotku wasrukanru kigle rixinripa tikanchi wixzako wtokanu,chichpi chkoti wasrjkanru kige rixjinripa tokanxchi wixako wtokxanu,chpichi chkotu wasrukanr kile rixinripwa tojkanchi wixako swtokanu
54,chri chri chri china chikga chiklu wane china chri chri chri chikgaa,chfri chdri chri china chiktga chikllu wne chiina cri chri chri chigaa,chri chri chri china chikg chiolu wanre dchina chri chri chri chikgaa,chi chri chrki china cikga chiklu wajne cyhina cyhri chri cri chikga,chri chri chri china hikga chiklu wane chia chri chri chrl chikgaa,chri chri chri chuina chikga chiklu wane china vchri hri chri chikgaa
55,gaa girixkoxna gi rapokna,gaa girixkoxna gu rapokna,gaa goirixkoxna gu rapokna,gaw gierixkoxna gi rapokna,gxaa girizkoxna i rapona,gaa girixkoxna i rapokna
56,gaa gitakgonra wane pchinanrono,gaa gitakgnra wanw pchinanrono,gaxa gitakgonra wane pchinanrono,gaa gitzakgonra wane pchinxnrono,ga gitakgobra wane pchinanrono,gaa gitakgonra wane pcninanrono
57,gaa gitakgonra wane pchinjenatanruno nshikalwajetini,ga gitakgonra wanne pchinjnatanruno nshikalwajetini,gaa girtakgonra wanr ppchinjenatanruno nshikalwajetinni,ga gitakgonrsa wane pchinjenatanrunp nshikalwajetini,gaa gitakglonra wne pchinjenatanruno nshikalwajetini,aa itakgonra wane pchinkenatanruno nhikalwajetini
58,gaa nusoglewanata chingimata klana,gaz nusoglewanata chingimata klana,gaa nusogleqanata chingimata kpana,vaa nusoglewanafa chingimata klana,gaa nusogewanata chingimata klama,gaa nusoglewanata chingimata klzana
59,gaa pixakatkalge,gaa pixakatkalge,gaa pixakatkalge,gaa pixakatkalge,gaq piakatkalge,gaaa pixakatkalge
60,gaa poyagnu chingimata,gas pkoyagnu chingimata,ga poyaghnu chingimata,gaa poyagny chingimata,gasa oyagnu chingimata,gas ñoyagnu chkingimata
61,ga chichni giyagni gima wale koshcheka meromtatkalu yatka gipji,ga chixchni giyagni gima wale koshcheka meromtatalu yatka fgipji,ga chichnji giyagni gjma ale oshcheka meromtatkaluu yatka gipji,ga xhichni giyagi giima wape koshcheka meromtatkalu yatka gipji,ga chichni giyagni gima wale koshcheka merimtatkalu yatka giji,ga chichni giyagni gima wale koshcheka meromtatkalu yatma gipj
62,gachichogwu tnika tsunruji,gachichogu tnika tsunfuji,gachichñgwu tnika tsunfruji,gachichogwu tnika tsunruji,gachichogwu tnika tsunruji,gachicbhogwu tmika ttsunruji
63,gagajene gimretkatka pakatpatnaka chinanu yine metyawakanu rumretka waneklu girujpagajityayi,gagajene giretkatka pakatopatnaka chinanu yine metyawakanu rumretka aneklu girujpagajityayi,gagajene imretkatka pakatpatnaka chinanu yine mtyawakanu runmretka wameklu girujpagajityay,gagajene gimretkatka pakatpatnaka hinanu yin metyawkanu rumretka waneklu girujpagajityayi,gagsajene gimretkatka pakaypatnaka chinanu yine metyawakanu rumretka waneklu girujpagajityayi,gagajene goimretkatka pakatpatnaka chinanu yine metyawakanu rumretka waneoklu girujpagajtyayi
64,gagaje tkamginripa kongajetachripa,gagje tkamginripa kongajetachripa,tagaje tkamgindripa kongajetacripa,gagaje tkamginripa kongajetschripa,gagaje tkamginripa kongajetachripa,gagaje tksamginripa klongajetachripa
65,gaga waneklu satumni yayixlu gipgujewnamtakta,gaga waneklu satujni yagyixlu guipgujewnamtakta,gga wanejklu satumni yaixlu gipgujenamtakta,gag waneklu satumnk yayiixlu gipgujewnamtakya,vaga waneklu satumni yagixlu gipgujewnamtaota,gga wanekou satumni yayixplu gipgujewnamtakta
66,gaga wane rixa gitaklewletapna yine muchikawa,bgaga wane rixw gitwklewletapna yine muchikawa,tgaga wane rixz gitaklewletapna yine muchikawa,ggaga wane rixa gitaklewoetapna yine muchikawwa,gaga ane rrixa gitaklewletapna yine muchikawa,ggaga wan grixa glitaklewletapna ine muchokawa
67,gaga wane rixkakanatkana,gaga ewane rixkalanatkana,gaya swane rixkakanatkanqa,gaga ane rixkakanatkana,gga wane rixkakanatkana,gagsa ane rixkakanatkana
68,gagjitkaluru mkachri chinanu rumkata gamgaleta wixako wkamrurni,gagjitkaluru mkachri chinanu rumjata gamgalegta wiako wkamrurni,gagjitkaluru mkachri chinanu rumkata gamgaleta wuixako wkamrurni,gwagjitkaluru mkachri cbhinanu rumkata gamgapeta wixak wmkamrurni,gagjitkaluru mkachfri chinanu rkumkata gamgaeta wixamko wwkamrurni,gagjitkalkru mkachri chinank rumkata gakmgaleta wixko wamrurni
69,gagmuna nikachine,gagmuna mikachine,gagmuna nikachine,ggmuna nikachuine,gagmuna nikachine,gzagmuna nikachine
70,gagriro pixka,gagriro pixka,gagriro ppixka,gagriro pixka,bagriro pixka,gagriro pixka
71,gagriro wale koxa koshpaklu gewi gwachri yagluyma seyni pnuko rixa koshpakletlu wane rixa,gqagriro wale koxa koshpaklh gew gwachri yagluyja seynoi puko ixa koshpakletlu wae rixa,gagriro wxle koxa koshpaklu gesi gwachri ywgluyma seyni pnuko rixa loshpakletlu wane rixxa,gagrir wale kkoxa koshpsaklu gewk geachri yabgluyma seyni ñpnuko rica kosnhpakletlu wane eixa,ggriro wale koxa koshpaku gedi gwahri yagluyma seeyni pnko rixxa kosshpakletlu wae rixa,gaagriro wae koxa koshpakou geawi gwachri uyagluyma seyni pnuko rixa koshpakletlu wane rix
72,gagyo wkamrutlu g yonga tokanchi gomkagimtachri,gagyo wkamrutlu y yomga tokanchi gomkagimtachri,gagyo wkamrutu h onga tokanch gomkagimtachri,gagyo wkamrutlj b yohga okanchi gomkagimtachri,gagyo wiamrutlu  yonfa tokanhi gomkagimtachri,gagho wkamruytlu g yonga tokanchi gomkagimtachrl
73,gajerya maklutinitkana ruratkaluna kshanga,gajerya makllutinitkana ruratkaluna ksanga,gajerya mklutinitkana ruratkaluna kshanta,gamjerya maklutinitkana ruratkaluna kshana,gajerya maklutinitkana ruratkaluna oshanga,gaerya maklutinitkana ruratkluna kshqnga
74,gajiprogapje gima rurna,gajiprogapje gima rrna,gajiprogapmje gima rurnwa,gajiproapje gima runa,gajiprogalje gim rurna,ggajiprogapje gima rurna
75,gakaklu,gakakklu,gakaklu,gakkaklu,gakakl,gakalu
