,sentence,error_0,error_1,error_2,error_3,error_4
147,galwerto kashichlu wpamoleteyma waleyma rekakgitlu,galwerto kashichlu wpamopeteyma waleyma rekkgitlu,galwerto oashichlu wpamoleteyma qaleyma rekakgilu,gawerto kxshichlu wpamoleteyma waleyjma rekakgitlu,galwerto kashichlu wpamoletfyma waleyma fekakgitlu,galwero kashchlu wpamoleteyma waleyma rekakgitlu
148,gamjiru putsotu gitni satu gitnerewatachrino seyni gi wa katalo yochpikachrino gi koxa motorone nyagkaka gitokga nwa,gamjirhu putsou gitni satu gitnerewatachrino seyn gi wa katalo yochpikachrino goi kixa motorome ntagkaka gitokga nwa,gamjiru utsotu gitni stu gitneewatachrino sfeyni gi a atalo yochñpikachrino gki koxa motorlone nyagkaka gitiokga nwa,gamjiru putsotu gitn satu ginerewatachrino seyni gj wza katalo yochpikachrno gji koxa mogtorone nuyagkaka gitikga nwa,gamjiru putsotu gitni stu itnerewatachrino setyni bgi w katalpo yochpikachrino gi koxa motoroe nyagkaka gitokga nwa,amjiru putsñtu gitni atu gitnrrewatachrino seyni gi da katsalo yochpikachrino g koxa motorone nyagmkaka gitkga nwa
149,gampo gishagkalu pamyo mturu pchogkaka tsapi wanepnute rushagkalu gepi pchogi tsru,gampo gishagkalu pamyo mturu pchogkaka tsqpi wabepnute rushagkalu gepi pchogi tsru,gampo gizshagkalu pamyo mturu pchogkka tsapi wajnepnute frushagkalu gepi pchogi htsru,gampo gkshagkalu pamhyo mturu pchlogkaka tsapi waneopnute rushagkaalu gepi ñchogi tdsru,gajpo gishagkalu pamo mturku pchogkaka tsapi wanepnute rushagialu gepji phogi tsru,gampo gishagkalu amyo turu pchogkak gsapi waepnute rushagkalu gepk pchogi tsru
150,gampo waneya pamole gepi proji ga wa mawro waneya patsrujire proji,gamppo waney pamol ggepi peoji yga wa mawro waneya patsrujore projji,gampo waneya panole bepi proji ga wq mawro waneya patrujire proji,gampo wanwya pakmole gepoi proki gw wa mawro waneya patsrujire proui,gmpo waneya pamole gepi projj gga da jawro wanea patsrujifre lproji,gampoo saneya pamople gei poji ga wa mawro waneya patsrujire roji
151,gana ga wa nora gepi pixkalutu niikaluru ruwlatna ga wa rushagkaluna psoluko chinyawaka giswaji gomkagitachri,ganqa fga wwa norx vgepi puxkalutu niikluru ruwlana gqa wa ruxhagkaluna psoluko chinyawaka gisaji gomkaitachri,gana g wa nora gdpi pkxkalutu niikaluru ruwlatna ga ww rushafgkaluna psoluko chinyawaka giswaji gomkagitachri,gzana ga wza nora gepi pixkalutu niikaluru ruwlatna g wa rushagkaluna psoluko chinyawaka gliswaji gomkagitachri,gana ga wa nora gepi pixkalutu niikaluru ruwlatna ha wa rushagkaouna psoluko chinyawaka giswaji gokagitachri,gana gwa w nora gpi pixkalutu nikaluru ruwlatna ga wa rjshagkaluna pqsoluko chihyawaka gjiswaji gomkagitachri
152,gana ga wa rowerto waneyna pnumnu gixachine pachine wgenene gipranna,gaa ga wxa rowerto qwaneyna pnumnu guxachine pachine dwgenene gipranna,gana ga wa rowerto waneyna pnumnu gixachine pachine wgenene gipranna,ana g wa rowerrto waneyna pnumnu gixachin pachine wgenene gipramna,ana ga wwa rwerto wneyna pnumnu gixachine pachine wgenene gipranna,gsna ta awa rowferto daneyna pnumju gixachine pachine wgeneme gpranna
153,gana ga wa yompi yenewata yogwajitkaluruyma,vgana gxa wq yompi yenewata yogwajitkaluruyma,gwana ga wa yompi yenewata yogwajitkaluuyma,gana ga wa ykompi gyenewata yogwajitkaluruyma,gana ga wwa yompi yennewata yogwajikaluruyma,gana ga wa yomopi yeewata yogwajitkaluruymq
154,gana gimatlu gipapko giklu rumkata jirgakota kakwalu tyanumatinitka jirgakota kakwalu tyanumatinitka jixolupi pupji ginapleya kakwalu jirgakotka jixolupi pupji ginapleya kakwalu jirgakotka girixanu tugkaklewatatka gipapkotkani,gana gimatlu gipapko giklu rumkata jirgakota mkakwalu tyanumqatinitka jirgqkota kqkwalu tyanumatinitka jlixolupi upji ginappleya kakwalu ujirgakotka iixolupi pupji ginaplya kawalu jirgakotka girixanu tugoaklewatatka gipapkotkani,gna gimatlu gipapko gikplu rumkata jirgakota kakwxalu tyanumatinitka jirgakota kakwalu tyanumatinitka jixolupi pulji ginapleya kaowalu jirygakotka jixolupi pupjii ginapleyqa kakwxalu jirgakotka girixanu tugkaklewatwtka gipapkotkani,gama gimmatlu gipapko giklu rumkata jirgakñota kakwapu tyanumatinitka jirgakota jkakwalu tyanumatinitka jixolupi pupji ginzapleya kakwalu jirgakotka jixolupi pupi ginaleya kakwalu jiryakotka girixanu tugkaklewatafka gipañpkotkani,gans gimatlu gipwpko giklu rumkata jirtgakota kakwlu tyanumatinitka joirgakota kakwalu tyanumatinitka jixkolupi pupji ginapleyza kakwalu jirgakotka jixlupi pupii hinapleya kakwqlu jirgakoytka girixanu tukaklewatatka gipspkotkani,gna gimatli goipapko gklu rumkata jirgalkota kakwalu tyaumatinitka jirgakta kakwalu tyanumatinitk jixolupi puppji ginapleya akwalu jirgwkotka jixolupi pupi gnapleya kakdwalu jirgakotka girixanu tugkaklewatatka gipakotkani
155,gana molene waneyna pamole yokgipi gaxawripane ga wa sonya molene ganikaji waneya gana molene pnute gi pejnu gaxawripane waneyna sonya molene,gana molee wneyna pamole yokgipi gaxswripane ga wa sñnya molene ganikaji waneeya ganx molene pnute gi pejnu fgaxawripane waneyna snya molfene,gana molene wneyna psamole yokgipi gaxawripanr vga w sonya molene gankaji wanya gana molene pjnute gi pejhu gaxawripane waneyna sonya molene,gama molene waneynza pamole ykgipi gaxawipane bga swa sonya molene ganikaji waneya gzna moene pnute ti pejn gaxawripane wansyna sony molene,gna mlene waneyna pamole yokgipui gaxawripane ga da sonya molene gganikaji waneya gana molene pnute gui peju gaxawripane waneyna onya molene,gana molen waneyna pakmole yokgipi gaxawripanre ga wa sonya molene gajikaji waneya gana molene ñnute gi pejniu gaxawripane waneyn sonnya moleene
156,gana waneya tusanate kigleru kajirujine nato gana waneya tusanate kigleru kajirujine wanepnute waneylo jiji pakata tusanate wanepnute waneylo jiji pakata tusanate nwanata wale pshinitsonu netlu suwa managi nwanata wale pshinitsonu netlu suwa managi rujgananumta niikanropa,gna waeya tusajnate igleru kajifrujine nsato gana waneya tuswanate kigpleru kajirujine wanepnute waneylo jii pakata tusanate wanepnuye waneylo jiji pakata tusanarte nwanata wal psinitsonu netlu suwa manag nwanatwa wale pshinitsonu metlu suuwa managi rujgananumta niikanropa,gana wanea tsanate kigleru kajirujine nato gana waneya tusanatse kigeru kajirujine wqanepnute wanylo jiji lakata tusanate wahepnute wanejlo jiji pakata tusahate nwanata wale pshinirsonu netlu suda managi nwxnata ewale pshinitsonu netlu suwa managi rujgananumta niikanropa,gana wanea tusanate kigleru kajirujine nato gahna wansya tusanarte kigleru ajirujine wxanepnute waeylo jiji pakata tuanate wanepnute waneyoo jiji pakata tusabate nwanata wal pshinitsonu ntlu suswa managi nwanata ale pxhinitsonu neflu suwq jmanagi rujgananumta niikanropa,ana wxneya tusanate kiyleru kajirujie nato vana wajeya tusanatse kgleru kajirujine wanepnute waneylo jji pakata tusanate wanepnute waneyl jiji pakata tuanate nwajnata wale pshinitsonu netlu swa managi nwanta wale pqshinitsonu netlu suwa managi rujgananumta niikanropw,hgana wanejya tusnate kigleru kajirujone nwato gana wzaneya usanate kigleru kxjirujine wanepnute waneylo ijiji pakata tusanzte wahepnute waneeylo jiki pakata tusanae nwanata wxale pshinitsonuu netlu suwa managi nwanata wle pshinitsonu netlu zsuwa manai rjgananumta niikanropa
157,ganikajgogne tushagkatkalo pamole mapa,gqanikajgogne tushagkatkalo pamole mapx,ganikajgogne tushagkatkalo paole kapa,bganikajgogne tushagkatkalo pmole mapa,ganikaajgogne tushagkatkalo pakmole mpa,ganikajgogne tushagkatkalo pajmole map
158,ganikaji tsapi walenwa jemtsapne,ganiokaji tspi walenwa jemtsapne,ganikqaji tsapi walenwa jemtsapne,ganikajoi tsapi walenwa jemtsapne,ganikaji tsapi wlenwa jemtasapne,ganikaji tsap walenwa jemtsape
159,ganikaji wsaji wutaka giwakatanru yompiranatkalurupa pagixanu,ganikaji wsaji wwutaka giwakatanruu yompiranatkaluupa agixanu,gankikaji wsaji dwutaka giwakatanru yompiranatkalurupa pagixau,tanikaji wssaji wutamka giwakatanru yompiraatkalurupa pagianu,anikaji wsaj wutaka giawakatanru yompiranakalurupa pagxanu,ganikakji wssji wutaka giwakatanru yompiranatkalurupa pagixanu
160,ganikaji yaglu psagatanu,gnikaji yaglu psagatanu,anikaji yaglu psagatnu,ganikai yagli psagatqnu,ganikji yaglu psagatanu,ganikaji yagpu psagaganu
161,ganikajpo tujruka kaywa tetyana ganani,ganikajpo tujrka kaywa tetyana ganani,ganikzajpo tujrukz okaywa tetyana ganani,ganikajpo turuka kaywa tetyana ganani,gankikajpo turuka kzywa hetyana gaani,anikajpo tujruka jaywa tetyana ganani
162,ganikajpotuko psusawotsatinri gi pejnutskaklu payaglukaka,ganikajpotuko psusawotsatinri bi pejnutskaklu payaglukaka,gnikajpotuko ñsusawotsatinri ti pejnutskaklu payaglukaka,ganikahjpotuko psusawotsatinri gi pejnutskwaklu payaglukaka,ganikajpktuko psusawotsatinri gu pejnutskakolu payaglukaka,ganikajpotuko psusawotsatinri i psjnutskaklu payaglukala
163,ganita gagjitlu mturuji yonatkaluro ga wa tomole teneka pamyo yonatkaluro,ganita gagjitlu mturuki yonatkaluro yga wa tomolle twneka pamyo yonatkaluro,ganita gatjitlu mturuji yonatkaluro ga wa tomole heneka pamyo yonatkaluro,ganita gagjitlu mtruji yonatkaluro a wa tomole teneka pamjo yonatkaluro,ganita gagjitlu mturuji yonatkaluro ga wqa tomole teneka opamyo yomnatkaluro,ganita tagjitlu mturuji yoatkaluro g wa tomolde yeneka pamyo yonatkaluro
164,ganita galuka gimatletlu gi pejnunxani kojita ganikajite pupxakanunro,ganita galuka gimartletlu gi pejnunxani kojjta ganikajitee pupxakanunro,ganitq galuka gimatletlu i pejnunxani kojiyta ganikajite pupxakanunro,ganita hgaluka gimatleetlu gi pejnunani kojita ganikajite pupxakanunro,ganita gaoluka gimatletlu gi pejnunxani kojita ganikajie pupxakanungro,ganita galuka gimatletlu gi pejnunxani kojitaa anikajite pupxakanunro
165,ganita puratna payokgipre kewene ga wa pamyo mishito,ganita purafna payokhgipre kewene ga ww pmyo mishito,ganita purxatna payokgipre kewene ga wa pakyo mishto,ganiya ouratna payokyipre kewene ga wa pamyo ishito,ganitaa puratna payokgipre kewfne gsa wza pamyo mshito,ganita puratna ppayokgipre kewene ga dwa pamyo mishito
166,ganita waneya ginnu kakwalu ga wa golyo waneya yokgipi ginnu,ganita waneyq yginnu oakwalu a swa golyo wneya gyokgipi ginnu,ganita waneya vginnu kakalu ga wwa golyo wneya yokgupi ginnu,ganita wxneya ginnu kakwalu a qa golyo wandeya yokgipi gimnu,ganit waneya ginnu kakwalu ha wz ggolyo waneya yokgipi ginbu,gania waneyaa ginnu akwalu ga wa golyo waneya yokbgipi ginnu
167,ganita yenewata gepkoxamkoje tsojrirutuyma ksagleru,ganita yenewata gepkoxamkoje tsojrirutuyma ksagleru,ganit jenewata gepkoxamkoje sojrirutuyma ksagleru,ganita yenewata gepkoxamkoje tsojrirutuyma kagleru,ganita yenfewata gepkoxamkojf tsojrirutuyma ksagleru,ganita yenewata gepkoxamkoje tsojrirutuyma ksagleru
168,ganji girletachri gima ga wa ganji nikletachri shikalchi gima,ganji girletachrri gima ga wa yganji niklerachri shkalchi gina,gani girlehachri gima ga a gnji nikletachri shkikalchi gia,ganji girletachri ima ga wa ganji nikletachri suikalchi gima,ganji girletavhri gima ga wqa ganjk nikletachri shiikalchi gima,ganji girltachri gim ga wa ganji nikletachri shikalcgi gimma
169,ganji gnunrolu shikalgima,ganj gnunroplu shikalgia,gaanji gnunrolu shikalgima,anji gnunrolu shoikalgima,ganji gnumnrolu shikalgima,ganjji gnunrolu shikalgima
170,ganjijetikowaka panikno wane putakyaplu psoluko panjitanru ga wa ginomkano seyni putjitno,ganjijetikwaka pxanikno wan putakyaplu pasoluko pwanjitanru g ea gnomkano seyni putjitno,ganjijetikowaka panikno wamne putakyaplu ñpsoluko panuitanru ya da ginomkabno seyni putjitho,ganijetikowaka pnikno wan putakyapplu psluko panjifanru gz wa ginomkano seyni putjitno,ganjietikowaka pamikno sane purtakyaplu psoluo panjitanru bga wa ginomkanño sdyni putjihtno,ganjijetikowaka panikno wzane putakyaplu psoluko panjiyanru ga a ginomkano seyni putjitno
171,ganjitachine kakwalu ginnu katslalu kakwalu ginnu klatalu psoluko lowisi maryana yomako tirisa pyanshinikanutanu ga wa pugitanru,ganjitachine kakwalu ginnu katslalu iakwalu ginnu klatau psoluko lowisj maryana yomako tjrisa pyanshinikanutanu ga wa pugitanru,ganjitachine mkakwalu ginnu katslalu kakwlu ginnu klatalu psloluko lowisi maryana yomako tirisa pyanshinikanutanu tga ewa pugoitanru,ganjihtachine kakwalu bginnu katslwalu kakwalu ginu klagalu psoluo lowlsi maryan yomako tirisa pyanshinikanutanu ya wa pugitanru,ganjitafchine kakwalu ginnu katslalu kakwalu ginnu klatau psoluoko lowisj maryan yojmako tirisa pyanshinikanutanu g wwa pugitaru,ganjitachine kakwalu ginnu katslalu kakwalu ginnu klatalu poluko lowisi maryana yomako tigisa pyanshinikanutqanu ga wa pugitanru
172,ganna gepkakaluto ganna rushpakle ganna,ganna gepkaaluto ganna rushpqakle ganna,ganna epkakaluto gannw rushpakle ganna,ganna gepjakaluto ganna rushpakle ganna,gqnna gelkakaluto ganna grushpakle gnna,gnna gepkakaluto gana rushpkle ganna
173,gannatanroni wane girga gognenatinitkalo,gannatanroni wne girga gogneatinitkalo,gannatanroni ane grga gognenatinitkal,annatanroni wane hirga gognenatinitkalo,gannatanroni wane girga gognenatnitkalo,gannatanroni wane ggirga gognenatinitklo
174,ganna tsotsotni nomane sero nixinitka kagwuru pixka nixa sernuta,ganna tsotsotni nomae sfero nixinitka kagwurku ixka nixa seruta,gnna tspotsotni nomane sero nixiniitka kagwjru pixka bixa sernuta,gana tsotsotni nomane sero nixinitka kagwuru pixka nixs sernuta,ganna tsotsoni noane ssero nixinitks kgwuru pisxka nixa sernuta,gannw totsotni nomane seero nixinitka katgwuru pixka nix sernuta
175,ganto ga wa chochlo wamonuwata shikapu gepi wgene,anto ga wxa chochlo wamonuwata shikaopu geopi wgen,gamnto ga wa cbhochlo wamonuwta shikapu gepi gene,gajnto ta wa chocnlo wamonuwta shhikapu gepo wgene,gajnto ta w chochlo wamonuwaa shiapu gpi wgsne,anto ga wa chochlo amonuwata shkapu gepi wgene
176,gantokliri giknoglu papko wa pamyo gogneko,gantokliri giknoglu papko a opamyo gogneko,gantoklii gikhnoglu papko wa pzmyo gogneo,gantoklri giknoglu papk wa pamyo gogneko,gantokliri giknoglu pako wx pamyo gigneko,gantokliri giknoglu papko wwa pamyo gogneko
177,gantonya ganiklo gepkoxamkojmole proji tanjitapinripa,gangonya ganklo gepkxamkojmole proji tanjitapinripa,gantonjya ganijlo gepkoxamkojmole proiji tanjitalpinripa,gantonya ganikklo gepkoxammkojmole proiji tanjitapinripa,bantonya ganiklo gepkoxamojmole pdoji tanjitapinripa,gantonya aniklo gepkoxamkojmol proji tanjitapinripa
178,gantonya waneyatka xani proji,gwantonya wneyatka xni proji,gantonya wabneyatka xan proji,gantonya waneyatka xani proki,gzantonya ewaneyatka xai pdroji,gzantonya waneyatka xanoi proji
179,gantonyowaneya kakwaluji waneyna pamole kakwalupa renekashlewata ganikajpotuko,gantonyoaneya kkwaluji waeyna panmole kakwalupa renekashlewata gankikajpotuko,gantonyowamneya kakwaluji aneyna pamole kkwalupa renekashlewata ganikajpotuko,gantonyowaneya kakaluji waneyna opamole kakaalupa renekasyhlewata ganikajpotuko,gantonyowaneya kakwaluni waneyna ppamole kakwalupsa renekashlewata ganikajpotuko,gantonyowaneya kakwaliuji wanehna pamol kakwalupa renekashlewata ganikjpotuko
180,gantonyo waneya payokgipre gepkoxamkoje tsojriritu mikili waneya mapa,gantony waeya payokgipre gepkoxmkoje tsojriritu mikilki waney mapa,gatonyo waneya payikgipre gepkoxamkoje tsojfriritu mikilk waneya map,gantonyo wanrya payogipre gepkoxamkoje sojriritu mikili waneya msapa,gantonyo waneya payokgipre gepkoxamkoje tsojriritu mikili waneua mwapa,gantonyo wajneya payokgipre gepkoxamkoje tsojriritu mikili waneya mapa
181,gapakapwu koko,gapakapwu klko,galakapwu kokio,gapakapwu kpko,gapakapw kiko,gapakapwu koko
182,gapashiro mgenoklu satyinerni kgalixkolni nkona koshmateta,gapashiro mgenoklu styinerni kbgalixkolni nmkona koshmateta,gapashiro mgenoklu satyinerni kgaixkolni nkñna koshmateta,gapashiro mgenoklu saytyinerni kgalixkolni nkona koshmateta,gapashiro mgenokplu saryinerni kgalixkolni nkonxa koshmateta,gañashiro menoklu satyuinerni kgalixkolni nkona koshmateta
183,gapatjetachine giwaka gapatjetikolu,gapatjetachine giwaka gapatjetikou,gapatjetachine tiwaka gapatjetikolu,gaptjetachine giwaka gapatjetikolu,gapatjetacine giwaka gapatjetiklu,gapatjetchine giwaka gapatjetikolu
184,gapatjetikowaka rapoka gosiwyo jemanshinikagkakatkana kakwalu jirgikolpatka,gapatjetikowaka rapoka gosiwyo jemanshiikagkakatkana kakwalu jirgikolpatka,gapatjetikkwaka rwpoka gñsiwyo jemanshinikagkakatkana kakwalu jirgikolpatka,galatjetikowaka rxpoka gosiwyo jemansyinikagkakatkana kakwalu jirgiklpatka,gapatjetikowaka rapoka gosiwyo jemanshinikagkaokatkana kakwalu jirgikolpatka,gaptjetikowaka rapokka gosiwyo jemanshinikagkakatkana kakwalh jirgikolpatka
185,gapatjetikowaka rapokna gantirishi shweylu ga wa peklo,gapatjetikowaka rapokna gantirishi shweylu ga wqa pelo,gapatjetikowaika rapokn gantirishi shweylu ga wwa eklo,gapatjetikowaka rapoknna ygantirishi shweulu g wa peklo,gapatjetikowaka rapokna gantirishi shweylu gw wz peklo,gapatjetikowaka rapoknz gantiishi shwdylu gw wx pelo
186,gapatjetikowaka rapokna wilipi ga wa kalo,gapatjetikowaka rapokbna wilipi vga wa kalo,gapatjetikkwaka rapoknx wilipi ga wwa ikalo,gapatjetikowaka rapokna qwilipi ga wa kaoo,gapatjetikwaka rapoknw wilipi g wa klo,gapatjetikowaka rapokna willpi a wa kalo
187,gapatjetkaluru shinikanchi giglepokotkalurutka,gapatjetkaluru shinikajnchi giglepkotkalurutka,gaatjetkaluru shiniknchi giglepokotkalurutka,gapatjetkalurk shinkanchi giglepokotkalurutka,gapatjetkalufru shinikanchi giglepokotkallurutka,gapwatjetkaluru shinikanchi giglepokotkalurutk
188,gaplikakaluruna yinerni kegeeknaniwatana girixanu pa gapliremnunanuka kachinyenginru,gaplikakluruna yinerni kegeeknaniwatana girrixanu pa gapoliremnunanuka kachinyenginru,gaplikakaluruna uyinerni kegeeknanisatana girixanuu ps gaplirmnunanuka kacninyenginru,gaplikakaluruna yinerni kegeeknaniwatana girixanu pa ggapliremnunanuka kachinyengibnru,gaplikakaluruna yinerni kregeeknaniwatana gjirixanu pw gapliremnunanuka kachinyenginru,gaplikakaluruna yinedni kegdeeknaniwatana girixau pa gapliremnunanuka kachijnyenginru
189,gapliri kigleyalni gomgaganeji,hapliri kgleyalni gomgaganej,gapliri kiigleyalni gomgaganeji,gwapliri kigleyalni gomgaganejoi,gapliri kigleyalni gomgaganeji,hgapliri kigleyalni gomgaganeji
190,gapokanutka gichimatanu wane mpawatinitkalu waneklu katamnupatkalu china yokwirgimatanna,gapokanutka gichimatanu wan mpawatinitkalu wanklu katamnupatialu cbina yokwifgimatanna,gapokantka gichimatanu wanee mpaatinitkalu waeklu katamnupatkalu chiba yokwigimatanna,gapokanutka gixchimatanu wan mpawatinitkallu waneklu katamnupatkalu china yokwirgimatanna,gapokanutka gichimatanu wwane mpawatinitkalu wanklu katamnupatkalu china yokwirgimaanna,gapokanytka gichimaranu wand mpawatinitkalu waeklu katamnupatkalu china yokwirgimatanna
191,garoso koxa roglutna ga wa trikoji koxa roglutna,garoso moxa roglutna ga wa trikoji koxa roglutna,aroso koa roglutna ga w trikoji koxa roglutna,garso kkoxa roglutna ga a trikoji kocxa rogluna,garñoso koxx roglurna a wa trikoji koxa roglutna,garoso koxx rogluyna ga a trikoji koza roglutna
192,gashanigkane koxlege waneya yonchi yonga,gashanigkane koxlegw waneua yoncji yomnga,gashanigkane koxlege waneysa yonchi yonnga,gashanigkaje koxleg wanea jonchi yoga,gashanigkane koxlege waneys yonchi yona,gashanigkane koxlefge wahneya yonchii onga
193,gashchennuru tsolya tsoly nika,gasuchennuru tsolya tsoly nika,gshchennuru tsolya tsoly nik,gashchennuru rtsolya toly nika,gwashchennuru tsola tsoly noika,gashchennru tsolya toly nika
194,gasruklu chri chri chri china chiklu chiklu wane china chri chri chri chikga,ygasruklu chrl chhri dchri china chiklu chikou wne china chri chri chri chuikga,gasryklu chri cchri chri china chiklu chliklu wanf china chri chri chro chikga,gasruklu chfri chi chgi chia hiklu chiklu wane china cheri chr chri xchikga,gasrklu chri chri chrri china chiklu chklu wane chinna chri chri hri chikga,gasruklu chri cyhri chri chlina chikpu chiklu wane china chri chi xhri chikgx
195,gasruklu ga wa xani gewi gwachri yonatkaluru poyagkakinri tsruyongakakamnu ga wa mturyongakakamnu wa pixa yimakikowakotikolutka,gasruklu ga ea xani gewi wachri yonatkaluru pñyagkakinri tsruyongakakamnu tga wa mturyonakakamnu wa pixxa yimakikowakotikolutka,gasruklu ba w xani gewi gwacri yonatkaluru poyagkakini tsruyongakakamnu gz wa mturyongakakamnu a ixa yimakikowakotikolutka,gsruklu gaa wwa xani gewi gwacri yonataluru poyagkkinri tsruyongakakamnu bga wa mturyongakakamnu sa pixa yimakikowakotikolutka,gaeruklu gwa wa xani gewi gwachr yñonatkaluru poyagkakinri tsruyongakqakamnu ga swa mturtongakakamnu a pixa yimakikowakotikolutka,gasruklu ga wa xabni gewi gwachri yonatkaluru poyagkakinri tsruyongakakamnu ga wa mturyongakakamnu w pixa yimakikowakotikolutka
196,gasruklu gewi petinri shinikanchi yonatkaluru wane pukshikinri gepiritu tokanchi pgimeru gipxakakachri wale psusawotanu,gasruklu gewi petinri shinikanchi yonqatkaluru wane pukshikinrki gepiriu tñokanchi pgieru gipxakakachri wale psusawortanu,gasguklu gewi petinri shinikanchi yonatkalru wane pukhikinri geliritu tokanchi pgimeru gpxakakachri wale psusawotanu,gsasruklu gewli etinri sinikanchi yonatkaluru eane pukshikinri gepitritu tokanchi pgimeriu gipxakakacuri wwale ñpsusawotanu,gasrujlu gewi petinri shinikanchi yonatkaluru wane pukshikimnri gepiritu tokanchi pgimeru gixakakachri wsle psusaotanu,gasrkuklu ewi petingri shinikanchi yonatkaluru wane pukshikinri gepiritu tokanchi pgimdru gipxakakachri walfe pssawotanu
197,gasruklu gewi swaji pukshikinri tokanchi yonga rapuko gwa yongatachri wanepnute psusawo gishyaletanru,gasruolu gewi swaji pukshikihnri tokanchi onga rapuko gwxa yongatachri wanepnute psusawo gishyaletanru,gsruklu gewi swaji pukshkkinri tokancchi yoonga rapujo gwa gongatachri wanrpnute psusawo gishtaletanru,gasrjuklu gewi swaji pukshimkinri tokanchi yonga rapuko wa yongatachti wanepnute psusawo gishyaletanru,gasruklu gewi swaji pukshikinri tñkanchi yonta rapuko gwa yongataxchri wanepnute pusawo gshyaletanru,gasruklu gsewi swaiji pukahikinri tokamchi yomnga rapukl fwa yojngatachri wanepnute psusaw gishyaletanru
198,gasruklu muchinanu gimatjemanru gewi gwachri shinikanchi wanepnute mpoyagkakanru tokanchi yonga gewiya wa kotsaklutachri swajijkakamnu,gaasruklu mjuchinanu gomatjemanru grwi fgwachri shinikanchi wanepnut mpoyagkakanru tokanchi yonga ewiya wqa kotsakllutachri swajijkakamnu,gasruklu muchinanu gimatjemahru gedi gwachri shinikanchi wanepnute moyagkakanru tokanchi hyonga gewia w kotsakluachri swajijkakamnu,gastuklu muchinanu gimtjemanru gwi gwachrji shinikanchi wajnepnute mpoyagkamkanru toknchi ykonga geaiya wa kotsaklutachri swajijkakamnu,gasrklu mucinanu gimatjemahnru gewi gwachri shibikanchi wanepnute mpoyagakanru tokanchi yonga ewiya a kosaklutachri swajijkakamhnu,gasruklu muchinanu gimatiemanru gewi gwachri shinikanchi wanenute mpoyagiakanru tokancbi yonga gwiya wa kotsaklutachri swajikjkakamnu
199,gasruklu poyagkakjemtanru tokanchi yonga gewi swajiya,gzsruklu poyagkakjfemtanru tokanchi ynga gewi swjiya,gasuklu poyagkkjemtanru tokanchi yonga gwewi swajiya,gsruklu poyaagkakjemtanru tokqanchi yonga gwi xwajiya,gasruklu poyagkakjemtanru tokanhi yonbga gewi dswajiya,gazsruklu poyagkakjemtanru tokanchi yñnga hewi xwajiya
